"source","target","weight","correlation","cor"
"[Clostridium] innocuum group","[Eubacterium] siraeum group",0.972056145255614,0.972056145255614,1
"[Clostridium] innocuum group","[Ruminococcus] torques group",0.985982582605461,0.985982582605461,1
"[Clostridium] innocuum group","Alloprevotella",0.851310927602457,0.851310927602457,1
"[Clostridium] innocuum group","Aquimixticola",0.925189915376408,0.925189915376408,1
"[Clostridium] innocuum group","Blautia",0.921599047785779,0.921599047785779,1
"[Clostridium] innocuum group","Butyricimonas",0.985398721860846,0.985398721860846,1
"[Clostridium] innocuum group","Candidatus Vestibaculum",0.971352662893161,0.971352662893161,1
"[Clostridium] innocuum group","CHKCI001",0.876209727136656,0.876209727136656,1
"[Clostridium] innocuum group","Clostridium sensu stricto 1",0.966696892778567,0.966696892778567,1
"[Clostridium] innocuum group","Colidextribacter",0.916667440685698,0.916667440685698,1
"[Clostridium] innocuum group","Cupriavidus",0.869097613510709,0.869097613510709,1
"[Clostridium] innocuum group","Desulfovibrio",0.855207448830494,0.855207448830494,1
"[Clostridium] innocuum group","Enterococcus",0.856397356454324,0.856397356454324,1
"[Clostridium] innocuum group","Faecalibaculum",0.856070520947876,0.856070520947876,1
"[Clostridium] innocuum group","Halioglobus",0.924399439465871,0.924399439465871,1
"[Clostridium] innocuum group","Helicobacter",0.912271922151147,0.912271922151147,1
"[Clostridium] innocuum group","Lachnospiraceae AC2044 group",0.87299076819032,0.87299076819032,1
"[Clostridium] innocuum group","Megamonas",0.971943632776708,0.971943632776708,1
"[Clostridium] innocuum group","Monoglobus",0.925326314607253,0.925326314607253,1
"[Clostridium] innocuum group","Muribaculum",0.915428795600547,0.915428795600547,1
"[Clostridium] innocuum group","Oxalobacter",0.959023241918317,0.959023241918317,1
"[Clostridium] innocuum group","Parabacteroides",0.891178573528207,0.891178573528207,1
"[Clostridium] innocuum group","Prevotellaceae UCG-001",0.866430350224631,0.866430350224631,1
"[Clostridium] innocuum group","Providencia",0.852679085753786,0.852679085753786,1
"[Clostridium] innocuum group","Pseudahrensia",0.870790311161327,0.870790311161327,1
"[Clostridium] innocuum group","Pseudoalteromonas",0.86177952247041,0.86177952247041,1
"[Clostridium] innocuum group","Rikenellaceae RC9 gut group",0.908163295473104,0.908163295473104,1
"[Clostridium] innocuum group","Roseovarius",0.941740786307828,0.941740786307828,1
"[Clostridium] innocuum group","Ruminococcus",0.956860287893919,0.956860287893919,1
"[Clostridium] innocuum group","Sva0081 sediment group",0.959023550330819,0.959023550330819,1
"[Clostridium] innocuum group","Sva0996 marine group",0.949469934355931,0.949469934355931,1
"[Clostridium] innocuum group","UCG-009",0.86915089249689,0.86915089249689,1
"[Eubacterium] eligens group","[Eubacterium] ventriosum group",0.995372745120134,0.995372745120134,1
"[Eubacterium] eligens group","Alistipes",0.855993299118546,0.855993299118546,1
"[Eubacterium] eligens group","Anaerostipes",0.869082943982203,0.869082943982203,1
"[Eubacterium] eligens group","Barnesiella",0.958912709274496,0.958912709274496,1
"[Eubacterium] eligens group","Christensenellaceae R-7 group",0.949961514966247,0.949961514966247,1
